mlpnorm,50.500, nan,50.292, nan
mlpnorm,50.311, nan,50.136, nan
mlpnorm,49.134, nan,48.823, nan
mlpnorm,49.047, nan,49.023, nan
mlpnorm,39.889, nan,40.097, nan
mlpnorm,40.588, nan,40.962, nan
mlpnorm,40.019, nan,39.979, nan
mlpnorm,41.377, nan,41.408, nan
mlpnorm,47.445, nan,47.231, nan
mlpnorm,40.940, nan,41.146, nan
mlpnorm,44.242, nan,44.691, nan
mlpnorm,41.594, nan,41.770, nan
mlpnorm,41.219, nan,41.139, nan
mlpnorm,41.762, nan,41.767, nan
mlpnorm,45.003, nan,45.183, nan
mlpnorm,43.080, nan,43.071, nan
mlpnorm,42.740, nan,43.220, nan
mlpnorm,43.227, nan,43.114, nan
mlpnorm,42.261, nan,42.164, nan
mlpnorm,43.359, nan,43.095, nan
mlpnorm,42.001, nan,42.119, nan
mlpnorm,42.714, nan,42.840, nan
mlpnorm,43.130, nan,43.395, nan
mlpnorm,40.940, nan,40.983, nan
mlpnorm,44.450, nan,44.592, nan
mlpnorm,43.175, nan,43.744, nan
mlpnorm,42.908, nan,43.229, nan
mlpnorm,41.089, nan,41.375, nan
mlpnorm,40.999, nan,41.245, nan
mlpnorm,42.790, nan,42.993, nan
mlpnorm,44.946, nan,45.272, nan
mlpnorm,40.725, nan,41.028, nan
mlpnorm,41.209, nan,41.822, nan
mlpnorm,42.861, nan,42.977, nan
mlpnorm,43.371, nan,43.591, nan
mlpnorm,42.095, nan,42.466, nan
mlpnorm,41.516, nan,41.732, nan
mlpnorm,42.421, nan,42.620, nan
mlpnorm,40.869, nan,41.302, nan
mlpnorm,43.510, nan,43.718, nan
mlpnorm,40.983, nan,40.896, nan
mlpnorm,42.657, nan,42.877, nan
mlpnorm,41.783, nan,42.053, nan
mlpnorm,42.322, nan,42.795, nan
mlpnorm,41.377, nan,41.644, nan
mlpnorm,42.041, nan,42.346, nan
mlpnorm,42.253, nan,42.188, nan
mlpnorm,40.933, nan,41.292, nan
mlpnorm,44.942, nan,45.185, nan
mlpnorm,42.830, nan,42.882, nan
mlpnorm,40.772, nan,41.080, nan
mlpnorm,42.650, nan,43.021, nan
mlpnorm,43.049, nan,43.194, nan
mlpnorm,41.465, nan,41.543, nan
mlpnorm,42.227, nan,42.509, nan
mlpnorm,39.943, nan,39.750, nan
mlpnorm,41.930, nan,42.055, nan
mlpnorm,39.017, nan,39.398, nan
mlpnorm,39.558, nan,39.774, nan
mlpnorm,41.202, nan,41.342, nan
mlpnorm,41.115, nan,41.160, nan
mlpnorm,41.013, nan,41.198, nan
mlpnorm,39.679, nan,39.646, nan
mlpnorm,45.738, nan,45.688, nan
mlpnorm,44.438, nan,44.306, nan
mlpnorm,43.605, nan,43.541, nan
mlpnorm,44.682, nan,44.902, nan
mlpnorm,43.649, nan,43.529, nan
mlpnorm,43.623, nan,43.241, nan
mlpnorm,44.285, nan,44.479, nan
mlpnorm,44.384, nan,44.271, nan
mlpnorm,40.404, nan,40.496, nan
mlpnorm,40.194, nan,40.303, nan
mlpnorm,40.257, nan,40.667, nan
mlpnorm,48.546, nan,48.116, nan
mlpnorm,49.182, nan,49.080, nan
mlpnorm,48.981, nan,48.704, nan
mlpnorm,48.052, nan,48.031, nan
mlpnorm,47.663, nan,47.684, nan
mlpnorm,47.334, nan,47.292, nan
mlpnorm,34.936, nan,35.246, nan
mlpnorm,34.631, nan,35.045, nan
mlpnorm,36.180, nan,36.765, nan
mlpnorm,45.178, nan,45.048, nan
mlpnorm,46.541, nan,46.675, nan
mlpnorm,45.478, nan,45.369, nan
mlpnorm,47.979, nan,48.171, nan
mlpnorm,48.097, nan,48.357, nan
mlpnorm,48.194, nan,48.596, nan
mlpnorm,44.453, nan,44.956, nan
mlpnorm,42.620, nan,42.679, nan
mlpnorm,41.682, nan,41.616, nan
mlpnorm,43.664, nan,43.631, nan
mlpnorm,41.949, nan,42.110, nan
mlpnorm,45.206, nan,45.195, nan
mlpnorm,44.639, nan,44.592, nan
mlpnorm,43.203, nan,42.967, nan
mlpnorm,43.437, nan,43.569, nan
mlpnorm,41.155, nan,41.637, nan
mlpnorm,40.092, nan,40.511, nan
mlpnorm,39.613, nan,39.977, nan
mlpnorm,47.923, nan,48.282, nan
mlpnorm,48.022, nan,48.409, nan
mlpnorm,47.649, nan,48.048, nan
mlpnorm,47.148, nan,47.044, nan
mlpnorm,47.285, nan,47.136, nan
mlpnorm,48.782, nan,48.598, nan
mlpnorm,35.158, nan,35.680, nan
mlpnorm,36.677, nan,36.887, nan
mlpnorm,34.938, nan,35.444, nan
mlpnorm,45.407, nan,45.199, nan
mlpnorm,45.234, nan,44.977, nan
mlpnorm,45.225, nan,45.277, nan
mlpnorm,47.294, nan,47.190, nan
mlpnorm,47.908, nan,48.088, nan
mlpnorm,47.885, nan,48.154, nan
